"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
12.04905,"x",NA,123,-0.1807692,"y",NA,510,"orangeGrp"
15.04087,"x",NA,184,-0.1865385,"y",NA,513,"orangeGrp"
17.83651,"x",NA,241,-0.1442308,"y",NA,491,"orangeGrp"
21.02452,"x",NA,306,-0.1538462,"y",NA,496,"orangeGrp"
23.91826,"x",NA,365,-0.1461538,"y",NA,492,"orangeGrp"
26.91008,"x",NA,426,-0.1269231,"y",NA,482,"orangeGrp"
29.90191,"x",NA,487,-0.125,"y",NA,481,"orangeGrp"
12,"x",NA,122,-0.125,"y",NA,481,"cherryGrp"
14.99183,"x",NA,183,-0.1288462,"y",NA,483,"cherryGrp"
17.73842,"x",NA,239,-0.08653846,"y",NA,461,"cherryGrp"
20.97548,"x",NA,305,-0.08846154,"y",NA,462,"cherryGrp"
23.9673,"x",NA,366,-0.08076923,"y",NA,458,"cherryGrp"
26.95913,"x",NA,427,-0.05576923,"y",NA,445,"cherryGrp"
29.90191,"x",NA,487,-0.05,"y",NA,442,"cherryGrp"
12.04905,"x",NA,123,-0.2403846,"y",NA,541,"kiwiGrp"
14.99183,"x",NA,183,-0.2442308,"y",NA,543,"kiwiGrp"
17.83651,"x",NA,241,-0.2057692,"y",NA,523,"kiwiGrp"
20.97548,"x",NA,305,-0.2153846,"y",NA,528,"kiwiGrp"
23.86921,"x",NA,364,-0.2153846,"y",NA,528,"kiwiGrp"
27.00817,"x",NA,428,-0.1961538,"y",NA,518,"kiwiGrp"
29.90191,"x",NA,487,-0.2,"y",NA,520,"kiwiGrp"
