months,te,te_se
 1.25,-0.0039510490,0.003683885
 3.75,-0.0183916100,0.006493627
 6.25,-0.0250000000,0.007055574
 8.75,-0.0193706300,0.007804839
11.25,-0.0176573400,0.008179470
13.75, 0.0004545455,0.009053613
16.25,-0.0010139860,0.009490682
18.75, 0.0016783220,0.009553122
21.25, 0.0153846200,0.010677020
23.75, 0.0146503500,0.010364825
26.25, 0.0107342700,0.010052633
28.75, 0.0180769200,0.010427264
31.25, 0.0239510500,0.010489703
33.75, 0.0222377600,0.010677019
36.25, 0.0227272700,0.010926773
38.75, 0.0423076900,0.011176529
41.25, 0.0256643400,0.011238967
43.75, 0.0286014000,0.011676039
46.25, 0.0195454500,0.012175549
48.75, 0.0283566400,0.013486761
